name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,11.788819875776397,0.31,0.34,0.322,0.009189365834726822,1.59,1.77,1.674,0.06058969476000938,0.32,0.47,0.40299999999999997,0.0429599296502631,2.0500000000000003,2.14,2.077,0.027908580918579284
xs grep meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -b,11.331343283582088,0.33,0.35,0.335,0.00849836585598796,1.59,1.78,1.703,0.0621914606499781,0.37,0.56,0.442,0.05613475849338904,2.13,2.21,2.145,0.025055493963954883
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,4.551558752997602,0.82,0.86,0.834,0.012649110640673528,0.49,0.54,0.513,0.018885620632287076,0.29,0.35,0.315,0.019002923751652304,0.8200000000000001,0.8500000000000001,0.8280000000000001,0.011352924243950931
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -b,4.513674197384066,0.82,0.85,0.841,0.00994428926011754,0.51,0.58,0.545,0.022236106773543877,0.26,0.32,0.29,0.019436506316150997,0.8200000000000001,0.8500000000000001,0.8350000000000001,0.009718253158075497
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -b,4.363218390804597,0.86,0.88,0.87,0.004714045207910321,0.52,0.6,0.561,0.022827858224351884,0.26,0.35,0.304,0.02796823595120404,0.85,0.8800000000000001,0.865,0.008498365855988003
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -b,4.284424379232505,0.88,0.9,0.886,0.006992058987801017,0.49,0.58,0.5449999999999999,0.034075080500434764,0.29,0.39,0.336,0.04033195589934447,0.8699999999999999,0.9,0.881,0.009944289260117596
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -b,3.8774259448416752,0.96,1.01,0.979,0.013703203194062989,0.3,0.39,0.35,0.026246692913372702,0.58,0.66,0.624,0.024585451886114388,0.96,1.01,0.974,0.015776212754932323
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -b,3.834343434343434,0.96,1.04,0.99,0.025819888974716137,0.34,0.43,0.377,0.029458068127047602,0.57,0.68,0.608,0.03190262963734776,0.96,1.03,0.985,0.024608038433722355
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -b,3.4921803127874878,1.08,1.1,1.0870000000000002,0.006749485577105535,0.63,0.71,0.662,0.02097617696340302,1.05,1.07,1.0590000000000002,0.008755950357709139,1.7000000000000002,1.78,1.721,0.02282785822435188
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -b,3.0761750405186383,1.22,1.25,1.234,0.011737877907772684,0.44,0.64,0.501,0.05989806155275627,0.58,0.79,0.726,0.06501281924871948,1.21,1.24,1.227,0.010593499054713795
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.1881064162754302,3.17,3.26,3.1950000000000003,0.02677063067368162,2.53,2.67,2.585,0.047667832153583695,0.51,0.65,0.605,0.045030853620354326,3.17,3.2600000000000002,3.19,0.027487370837451185
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,3.77,3.84,3.796,0.02988868236194649,0.0,0.02,0.005,0.007071067811865475,3.74,3.83,3.776,0.0306231575409489,3.75,3.83,3.781,0.028067379246694488
